Karolina spogląda za okno. Z nieba leje się żar. W ubiegłym miesiącu w jej okolicy nie spadła nawet kropla deszczu. “Z powodu suszy może zabraknąć jedzenia dla nas wszystkich”, myśli Karolina.			ANX1
Rafał zauważył, że tegoroczna wiosna była wyraźnie inna od poprzednich. Było gorąco, sucho i zupełnie nie słyszało się bzyczenia owadów w parku. Rafał przeczytał, że to skutki zmiany klimatu i że wraz z wymieraniem owadów mogą pojawić się problemy w dostępności zapylanych przez nie zbóż.			ANX2
Tomasz przeczytał w internecie, że tempo wymierania gatunków współcześnie jest oceniane na 100 razy szybsze niż naturalne. Według niektórych naukowców warunkiem przetrwania gatunku ludzkiego jest podjęcie zdecydowanych kroków na przestrzeni 20-30 lat.			ANX3
Spacerując po parku Paulina zauważyła, że wiele drzew usycha i choruje. Paulina wie, że jeśli w wyniku zmiany klimatu zniknie więcej drzew, będzie nam jeszcze trudniej żyć w trakcie upałów. Wyobraża sobie, że w okolicy nie będzie nawet jednego drzewa, by schronić się w jego cieniu.			ANX4
W miejscowości Piotra wichury zniszczyły kilkanaście budynków i powaliły wiele drzew. Piotr myśli o tym, że w wyniku zmiany klimatu takie zjawiska - niszczące infrastrukturę i zagrażające życiu ludzi - będą coraz częstsze.			ANX5
Dom Barbary został porwany przez wodę podczas powodzi błyskawicznej. Barbara jest jedną z osób, która w wyniku powodzi straciła cały dobytek życia. Choć życzliwi ludzie zaoferowali jej, by tymczasowo zatrzymała się u nich, wszyscy w okolicy obawiają się, że przez zmianę klimatu tego rodzaju sytuacje będą coraz częstsze. Dom, w którym zatrzymała się Barbara także znajduje się na terenie zalewowym.			ANX6
Ola zajmuje się badaniem oceanów. Ostatnio musiała upewnić się, czy nie pomyliła się w obliczeniach - wskazywały one, że topniejący arktyczny lód spowoduje zalanie terenów, na których mieszka kilkadziesiąt milionów ludzi. Niestety, przeprowadzone przez nią obliczenia są poprawne.			ANX7
Z powodu tegorocznej suszy pożary w pobliskim parku narodowym zagrażają bezpieczeństwu mieszkańców trzech pobliskich miejscowości. W jednej z nich, na skraju lasu, mieszkają dziadkowie Roberta. Robert często nie może spać, myśląc o niebezpieczeństwie grożącym jego dziadkom.			ANX8
Malwina wzdrygnęła się, czytając ulotkę, w której było napisane “Ludzie, którzy będą mieszkać w Twoim kraju za kilkadziesiąt lat, będą zmagać się z okrutnymi falami upałów i innymi niebezpiecznymi zjawiskami pogodowymi. Wśród nich mogą znaleźć się Twoi bliscy i przyjaciele.”			ANX9
Kasia przeczytała, że z powodu zmiany klimatu za kilkadziesiąt lat ludzkość może stanąć przed koniecznością walki o wodę i inne kurczące się zasoby naturalne. Trudno jej to sobie wyobrazić, zwłaszcza kiedy myśli o tym, że jej młodsza siostra miałaby tego doświadczyć. Kasia zastanawia się, czy jest coś, co mogłaby zrobić, by zadbać o przyszłość swojej siostry.			ANX10
Ignacy, jak co dzień, obudził się, włączył radio i poszedł do kuchni nastawić wodę na herbatę. Z kranu nie poleciała jednak woda. W radiu usłyszał, że z powodu suszy wywołanej zmianą klimatu w mieście zabrakło wody i nikt nie wie, jak długo trwać będą przerwy w dostawie wody. Ignacy zupełnie nie wie, skąd ma wziąć wodę na najbliższe dni.			ANX11
Natalia pracuje w przedszkolu. Kiedy prowadzi zajęcia o porach roku dzieci wypytują ją, dlaczego zima, którą znają, nie przypomina śnieżnej zimy z obrazków w książeczkach. Natalia myśli wtedy o przyszłości swoich podopiecznych i o tym, jak zmiana klimatu wpłynie na ich życie.			ANX12
Ewa i Wojtek mają wątpliwości, czy powinni mieć dziecko. Oboje dużo czytali na temat zmiany klimatu i tego, jak trudno będzie się żyło przyszłym pokoleniom. Ewa uważa, że to nieetyczne narażać dziecko na tak trudne życie. Wojtek zaś obawia się, czy to dobra decyzja w obliczu przeludnienia Ziemi.			ANX13
Artur sądził, że zmiana klimatu będzie problemem, który dotknie ludzi w odległej przyszłości. Kiedy dowiedział się, że braki wody, których doświadczał w ubiegłych miesiącach, są spowodowane zmianą klimatu, zaczął więcej czytać o tym zjawisku.			ANX14
Bogdan rozmawia z córką o ich planach wakacyjnych. Chciałby pokazać jej rafy koralowe, ponieważ wkrótce znikną one zupełnie przez zmianę klimatu. Ta zwykła rozmowa powoduje, że Bogdan zaczyna niepokoić się o przyszłość swojej córki. Ma świadomość tego, że jego córka odczuje negatywne skutki zmiany klimatu na własnej skórze.			ANX15
Marian obawia się, że migracje spowodowane zmianą klimatu przybiorą na sile. Raporty naukowe mówią, że nawet miliard osób może być zmuszonych do opuszczenia swojego dotychczasowego miejsca zamieszkania. Migracje na taką skalę mogą być źródłem cierpienia i konfliktów na niespotykaną dotąd skalę.			ANX16
Kiedy Jadwiga dowiedziała się, że przez zmianę klimatu jej rodzinna miejscowość zostanie zalana przez morze, zaczęła usilnie namawiać rodziców na przeprowadzkę. Nikt jednak nie chce kupić domu jej rodziców, ponieważ działka za kilkanaście lat znajdzie się pod wodą.			ANX17
Janek potrzebuje ubezpieczyć swój dom. Właśnie dowiedział się, ile będzie go kosztować ubezpieczenie domu od skutków katastrof naturalnych i wciąż nie może w to uwierzyć. Ubezpieczyciel poinformował go, że koszty wzrosły, ponieważ przez zmianę klimatu gwałtowne zjawiska pogodowe są bardziej prawdopodobne. To dało Jankowi dużo do myślenia.			ANX18
Julia dowiaduje się, że pomimo kolejnych międzynarodowych konferencji klimatycznych i ciągłego nagłaśniania kwestii zmiany klimatu w mediach, światowe emisje gazów cieplarnianych nadal rosną. Dochodzi do wniosku, że osiągnięcie niektórych spośród celów klimatycznych wydaje się właściwie niemożliwe.			ANX19
Bartek dowiedział się, że do tej pory zmiana klimatu postępowała dość łagodnie, bo większość nadmiarowego ciepła była pochłaniania przez oceany. Obecnie jednak woda oceaniczna nie jest w stanie wchłonąć więcej ciepła, więc zmiany w środowisku naturalnym staną się coraz bardziej dotkliwe i zauważalne.			ANX20
Darek rozmyśla o swoim ostatnim śnie i na samą myśl przechodzi go dreszcz. Przypomina sobie tłumy uchodźców idących zakurzoną drogą pośród wyschniętych pól. Ostatnio co jakiś czas nachodzą go ponure myśli, że przez zmianę klimatu on także będzie musiał opuścić dom rodzinny, w którym spędził całe swoje życie.			ANX21
Elwira po cichu zagląda do pokoju swojego męża, Janusza. Janusz ma chore serce i bardzo źle znosi fale upałów. Elwira często przerywa swoje obowiązki, żeby sprawdzić, czy jej mąż nie zasłabł. Za każdym razem, gdy wychodzi na zakupy, wyobraża sobie, co może stać się jej mężowi pod jej nieobecność.			ANX22
Agnieszka i Ania spacerują nad brzegiem rzeki w upalny dzień. Choć to najchłodniejsze miejsce w okolicy, poziom wody jest wyraźnie niższy niż jeszcze kilka tygodni temu. W pewnym momencie Ania szeroko otwiera oczy i łapie Agnieszkę za rękę. Agnieszka zauważa, że przy brzegu unoszą się ciała martwych ryb.			ANX23
Oliwia odpoczywa na kanapie, przeglądając internet w telefonie. Wyświetla się jej reklama, która przypomina jej o zmianie klimatu. Zazwyczaj Oliwia przewija takie reklamy, bo myśli, że zmiana klimatu jest odległa i nierealna. “Globalna pandemia też wydawała się na początku nierealna”, pomyślała tym razem.			ANX24
Tomek słucha podcastu, relaksując się w kąpieli. Mimo ciepła wody, przechodzi go dreszcz, kiedy słyszy wiadomość, że jego kraj jest jednym z najgorzej przygotowanych na konsekwencje zmiany klimatu krajów w regionie. Zmiany w infrastrukturze, które miałyby zostać wprowadzone w najbliższych latach, wydają mu się niemożliwe do osiągnięcia w tak krótkim czasie.			ANX25
Renata i Karol w tym roku kolejny raz muszą pozyskiwać wodę pitną z beczkowozów w trakcie letnich upałów. Coraz poważniej myślą o tym, by sprzedać dom i przeprowadzić się w miejsce, gdzie wody nie trzeba będzie tak bardzo oszczędzać. Przecież woda do picia to podstawa.			ANX26
Ula i Iwona rozmawiają szczerze o swoich wątpliwościach dotyczących posiadania dzieci. Ula mówi, że poważnie zastanawia się, czy to rozsądny pomysł. Iwona przyznaje, że zastanawia się, czy ich dzieciom dane będzie dożyć szczęśliwej i spokojnej starości ze względu na zmieniający się klimat.			ANX27
Igor i Maciek oglądają program przyrodniczy o zmianie klimatu. Igor czuje rosnącą gulę w gardle, kiedy na ekranie pokazuje się wizualizacja poziomu mórz i oceanów za kilkadziesiąt lat. Zerka na Maćka i widzi jego stężałą twarz. Igor rozumie jego reakcję. Według prognoz naukowców rodzinna miejscowość Maćka zniknie pod powierzchnią wody.			ANX28
Marcie zależy na tym, żeby przygotowywać zdrowe posiłki dla siebie i swojej rodziny. Jednak przez suszę ceny owoców i warzyw w jej kraju rosną jak szalone, więc Marta zmuszona jest wybierać tańsze produkty. Marta myśli o tym, co zrobić, jeżeli w przyszłości zdrowa żywność będzie jeszcze mniej dostępna.			ANX29
